Cbb-2, -2 -2 FALSE;
Ebb4, 74 -74 FALSE;
Fbb4, 75 -75 FALSE;
Gbb4, 77 -77 FALSE;
Abb4, 79 -79 FALSE;
Bbb4, 81 -81 FALSE;
Cb4, 71 -71 FALSE;
Db4, 73 -73 TRUE;
Eb4, 75 -75 TRUE;
Fb4, 76 -76 FALSE;
Gb4, 78 -78 TRUE;
Ab4, 80 -80 TRUE;
Bb4, 82 -82 TRUE;
C4, 72 72 TRUE;
D4, 74 74 TRUE;
E4, 76 76 TRUE;
F4, 77 77 TRUE;
G4, 79 79 TRUE;
A4, 81 81 TRUE;
B4, 83 83 TRUE;
C#4, 73 73 TRUE;
D#4, 75 75 TRUE;
E#4, 77 77 FALSE;
F#4, 78 78 TRUE;
G#4, 80 80 TRUE;
A#4, 82 82 TRUE;
B#4, 84 84 FALSE;
C##4, 74 74 FALSE;
D##4, 76 76 FALSE;
E##4, 78 78 FALSE;
F##4, 79 79 FALSE;
G##4, 81 81 FALSE;
A##4, 83 83 FALSE;
B##4, 85 85 FALSE;
Cbb5, 82 -82 FALSE;
Dbb5, 84 -84 FALSE;
Ebb5, 86 -86 FALSE;
Fbb5, 87 -87 FALSE;
Gbb5, 89 -89 FALSE;
Abb5, 91 -91 FALSE;
Bbb5, 93 -93 FALSE;
Cb5, 83 -83 FALSE;
Db5, 85 -85 TRUE;
Eb5, 87 -87 TRUE;
Fb5, 88 -88 FALSE;
Gb5, 90 -90 TRUE;
Ab5, 92 -92 TRUE;
Bb5, 94 -94 TRUE;
C5, 84 84 TRUE;
D5, 86 86 TRUE;
E5, 88 88 TRUE;
F5, 89 89 TRUE;
G5, 91 91 TRUE;
A5, 93 93 TRUE;
B5, 95 95 TRUE;
C#5, 85 85 TRUE;
D#5, 87 87 TRUE;
E#5, 89 89 FALSE;
F#5, 90 90 TRUE;
G#5, 92 92 TRUE;
A#5, 94 94 TRUE;
B#5, 96 96 FALSE;
C##5, 86 86 FALSE;
D##5, 88 88 FALSE;
E##5, 90 90 FALSE;
F##5, 91 91 FALSE;
G##5, 93 93 FALSE;
A##5, 95 95 FALSE;
B##5, 97 97 FALSE;
Cbb6, 94 -94 FALSE;
Dbb6, 96 -96 FALSE;
Ebb6, 98 -98 FALSE;
Fbb6, 99 -99 FALSE;
Gbb6, 101 -101 FALSE;
Abb6, 103 -103 FALSE;
Bbb6, 105 -105 FALSE;
Cb6, 95 -95 FALSE;
Db6, 97 -97 TRUE;
Eb6, 99 -99 TRUE;
Fb6, 100 -100 FALSE;
Gb6, 102 -102 TRUE;
Ab6, 104 -104 TRUE;
Bb6, 106 -106 TRUE;
C6, 96 96 TRUE;
D6, 98 98 TRUE;
E6, 100 100 TRUE;
F6, 101 101 TRUE;
G6, 103 103 TRUE;
A6, 105 105 TRUE;
B6, 107 107 TRUE;
C#6, 97 97 TRUE;
D#6, 99 99 TRUE;
E#6, 101 101 FALSE;
F#6, 102 102 TRUE;
G#6, 104 104 TRUE;
A#6, 106 106 TRUE;
B#6, 108 108 FALSE;
C##6, 98 98 FALSE;
D##6, 100 100 FALSE;
E##6, 102 102 FALSE;
F##6, 103 103 FALSE;
G##6, 105 105 FALSE;
A##6, 107 107 FALSE;
B##6, 109 109 FALSE;
Cbb7, 106 -106 FALSE;
Dbb7, 108 -108 FALSE;
Ebb7, 110 -110 FALSE;
Fbb7, 111 -111 FALSE;
Gbb7, 113 -113 FALSE;
Abb7, 115 -115 FALSE;
Bbb7, 117 -117 FALSE;
Cb7, 107 -107 FALSE;
Db7, 109 -109 TRUE;
Eb7, 111 -111 TRUE;
Fb7, 112 -112 FALSE;
Gb7, 114 -114 TRUE;
Ab7, 116 -116 TRUE;
Bb7, 118 -118 TRUE;
C7, 108 108 TRUE;
D7, 110 110 TRUE;
E7, 112 112 TRUE;
F7, 113 113 TRUE;
G7, 115 115 TRUE;
A7, 117 117 TRUE;
B7, 119 119 TRUE;
C#7, 109 109 TRUE;
D#7, 111 111 TRUE;
E#7, 113 113 FALSE;
F#7, 114 114 TRUE;
G#7, 116 116 TRUE;
A#7, 118 118 TRUE;
B#7, 120 120 FALSE;
C##7, 110 110 FALSE;
D##7, 112 112 FALSE;
E##7, 114 114 FALSE;
F##7, 115 115 FALSE;
G##7, 117 117 FALSE;
A##7, 119 119 FALSE;
B##7, 121 121 FALSE;
Cbb8, 118 -118 FALSE;
Dbb8, 120 -120 FALSE;
Ebb8, 122 -122 FALSE;
Fbb8, 123 -123 FALSE;
Gbb8, 125 -125 FALSE;
Abb8, 127 -127 FALSE;
Bbb8, 129 -129 FALSE;
Cb8, 119 -119 FALSE;
Db8, 121 -121 TRUE;
Eb8, 123 -123 TRUE;
Fb8, 124 -124 FALSE;
Gb8, 126 -126 TRUE;
Ab8, 128 -128 TRUE;
Bb8, 130 -130 TRUE;
C8, 120 120 TRUE;
D8, 122 122 TRUE;
E8, 124 124 TRUE;
F8, 125 125 TRUE;
G8, 127 127 TRUE;
A8, 129 129 TRUE;
B8, 131 131 TRUE;
C#8, 121 121 TRUE;
D#8, 123 123 TRUE;
E#8, 125 125 FALSE;
F#8, 126 126 TRUE;
G#8, 128 128 TRUE;
A#8, 130 130 TRUE;
B#8, 132 132 FALSE;
C##8, 122 122 FALSE;
D##8, 124 124 FALSE;
E##8, 126 126 FALSE;
F##8, 127 127 FALSE;
G##8, 129 129 FALSE;
A##8, 131 131 FALSE;
B##8, 133 133 FALSE;
